arm,t,cif_aki,cif_death
deep,6.296482412060302,0.0713223777476879,0.0561690867799329
deep,6.331658291457287,0.0713223777476879,0.0561690867799329
deep,6.366834170854271,0.0713223777476879,0.05684289509225912
deep,6.402010050251256,0.0713223777476879,0.05776361566524751
deep,6.437185929648241,0.0713223777476879,0.05776361566524751
deep,6.472361809045226,0.0713223777476879,0.058321868907961295
deep,6.507537688442211,0.0713223777476879,0.058321868907961295
deep,6.542713567839196,0.0713223777476879,0.05899007481104348
deep,6.57788944723618,0.0713223777476879,0.05899007481104348
deep,6.613065326633166,0.0713223777476879,0.05899007481104348
deep,6.648241206030151,0.0713223777476879,0.05899007481104348
deep,6.683417085427136,0.0713223777476879,0.05899007481104348
deep,6.71859296482412,0.0713223777476879,0.05938285318258529
deep,6.7537688442211055,0.0713223777476879,0.05995992102450875
deep,6.788944723618091,0.0713223777476879,0.05995992102450875
deep,6.824120603015075,0.0713223777476879,0.05995992102450875
deep,6.85929648241206,0.0713223777476879,0.06074401019128759
deep,6.894472361809045,0.0713223777476879,0.06074401019128759
deep,6.9296482412060305,0.0713223777476879,0.061360517379571274
deep,6.964824120603015,0.0713223777476879,0.062050659012694034
deep,7.0,0.0713223777476879,0.062050659012694034
shallow,0.0,0.0,0.0
shallow,0.035175879396984924,0.005224035806596349,0.0
shallow,0.07035175879396985,0.007104469686850678,0.0
shallow,0.10552763819095477,0.007104469686850678,0.0
shallow,0.1407035175879397,0.007625880855967183,0.0
shallow,0.1758793969849246,0.00959441188459165,0.0013833859067081471
shallow,0.21105527638190955,0.010187263167784061,0.0013833859067081471
shallow,0.24623115577889448,0.010774125522985503,0.0013833859067081471
shallow,0.2814070351758794,0.010774125522985503,0.0013833859067081471
shallow,0.3165829145728643,0.011446950661888129,0.002524981676929886
shallow,0.3517587939698492,0.013136659931732471,0.002524981676929886
shallow,0.3869346733668342,0.013136659931732471,0.002524981676929886
shallow,0.4221105527638191,0.013136659931732471,0.0034195689244599027
shallow,0.457286432160804,0.013136659931732471,0.0034195689244599027
shallow,0.49246231155778897,0.013136659931732471,0.0034195689244599027
shallow,0.5276381909547738,0.013136659931732471,0.0034195689244599027
shallow,0.5628140703517588,0.013136659931732471,0.0034195689244599027
shallow,0.5979899497487438,0.013136659931732471,0.0041229419452476455
shallow,0.6331658291457286,0.013718735077330704,0.0041229419452476455
shallow,0.6683417085427136,0.014131105589960755,0.0041229419452476455
shallow,0.7035175879396984,0.014131105589960755,0.0049988202385051516
shallow,0.7386934673366834,0.015113631662254112,0.0049988202385051516
shallow,0.7738693467336684,0.01695508083271363,0.0049988202385051516
shallow,0.8090452261306532,0.01695508083271363,0.0049988202385051516
shallow,0.8442211055276382,0.01695508083271363,0.0049988202385051516
shallow,0.8793969849246231,0.01695508083271363,0.0049988202385051516
shallow,0.914572864321608,0.01695508083271363,0.0049988202385051516
shallow,0.949748743718593,0.017752552624565435,0.0049988202385051516
shallow,0.9849246231155779,0.017752552624565435,0.005592259579631828
shallow,1.020100502512563,0.017752552624565435,0.005592259579631828
shallow,1.0552763819095476,0.017752552624565435,0.006250202803576197
shallow,1.0904522613065326,0.017752552624565435,0.006250202803576197
shallow,1.1256281407035176,0.017752552624565435,0.00784346117123048
shallow,1.1608040201005025,0.019373106405804544,0.00784346117123048
shallow,1.1959798994974875,0.019373106405804544,0.00784346117123048
shallow,1.2311557788944723,0.019373106405804544,0.00784346117123048
shallow,1.2663316582914572,0.020274093871514524,0.008826495759026233
shallow,1.3015075376884422,0.020274093871514524,0.008826495759026233
shallow,1.3366834170854272,0.020274093871514524,0.008826495759026233
shallow,1.3718592964824121,0.020274093871514524,0.008826495759026233
shallow,1.4070351758793969,0.021095132357654894,0.009756797855793975
shallow,1.4422110552763818,0.021095132357654894,0.009756797855793975
shallow,1.4773869346733668,0.02312178875913576,0.009756797855793975
shallow,1.5125628140703518,0.02312178875913576,0.009756797855793975
shallow,1.5477386934673367,0.02312178875913576,0.009756797855793975
shallow,1.5829145728643217,0.02312178875913576,0.009756797855793975
shallow,1.6180904522613064,0.024583717852923955,0.009756797855793975
shallow,1.6532663316582914,0.024583717852923955,0.009756797855793975
shallow,1.6884422110552764,0.024583717852923955,0.009756797855793975
shallow,1.7236180904522613,0.024583717852923955,0.009756797855793975
shallow,1.7587939698492463,0.024583717852923955,0.010896860521667683
shallow,1.793969849246231,0.025487222788123202,0.010896860521667683
shallow,1.829145728643216,0.025487222788123202,0.010896860521667683
shallow,1.864321608040201,0.026335110922379456,0.011655356435912648
shallow,1.899497487437186,0.026335110922379456,0.011655356435912648
shallow,1.934673366834171,0.026335110922379456,0.011655356435912648
shallow,1.9698492462311559,0.027323264187220715,0.011655356435912648
shallow,2.0050251256281406,0.028393121394069246,0.01322432549297938
shallow,2.040201005025126,0.028393121394069246,0.01322432549297938
shallow,2.0753768844221105,0.02912099266906734,0.014005495448668522
shallow,2.1105527638190953,0.02912099266906734,0.014005495448668522
shallow,2.1457286432160805,0.02912099266906734,0.01498082851805726
shallow,2.180904522613065,0.02912099266906734,0.01498082851805726
shallow,2.2160804020100504,0.02997889548862246,0.01498082851805726
shallow,2.251256281407035,0.02997889548862246,0.01498082851805726
shallow,2.28643216080402,0.031105998655078543,0.016087758947456003
shallow,2.321608040201005,0.031105998655078543,0.016087758947456003
shallow,2.35678391959799,0.031105998655078543,0.016087758947456003
shallow,2.391959798994975,0.031105998655078543,0.016087758947456003
shallow,2.4271356783919598,0.031105998655078543,0.01683188199426488
shallow,2.4623115577889445,0.031105998655078543,0.01683188199426488
shallow,2.4974874371859297,0.031105998655078543,0.01683188199426488
shallow,2.5326633165829144,0.03219573315700086,0.01683188199426488
shallow,2.5678391959798996,0.03304187116550017,0.01683188199426488
shallow,2.6030150753768844,0.03304187116550017,0.017677073039398673
shallow,2.638190954773869,0.03304187116550017,0.018327507830567375
shallow,2.6733668341708543,0.03304187116550017,0.018327507830567375
shallow,2.708542713567839,0.03374850124644689,0.018327507830567375
shallow,2.7437185929648242,0.03460329742873766,0.018327507830567375
shallow,2.778894472361809,0.03460329742873766,0.019394032031235547
shallow,2.8140703517587937,0.03460329742873766,0.019394032031235547
shallow,2.849246231155779,0.03460329742873766,0.019394032031235547
shallow,2.8844221105527637,0.03549871954861634,0.019394032031235547
shallow,2.919597989949749,0.036368009677663314,0.019394032031235547
shallow,2.9547738693467336,0.036368009677663314,0.019394032031235547
shallow,2.9899497487437188,0.036368009677663314,0.020212343526141097
shallow,3.0251256281407035,0.036368009677663314,0.02108899628219363
shallow,3.0603015075376883,0.036368009677663314,0.021874167964187126
shallow,3.0954773869346734,0.036368009677663314,0.022750620407387442
shallow,3.130653266331658,0.036368009677663314,0.022750620407387442
shallow,3.1658291457286434,0.036368009677663314,0.022750620407387442
shallow,3.201005025125628,0.036368009677663314,0.022750620407387442
shallow,3.236180904522613,0.036368009677663314,0.022750620407387442
shallow,3.271356783919598,0.036368009677663314,0.022750620407387442
shallow,3.306532663316583,0.036368009677663314,0.022750620407387442
shallow,3.341708542713568,0.036368009677663314,0.022750620407387442
shallow,3.3768844221105527,0.036368009677663314,0.022750620407387442
shallow,3.4120603015075375,0.036368009677663314,0.022750620407387442
shallow,3.4472361809045227,0.036368009677663314,0.022750620407387442
shallow,3.4824120603015074,0.036368009677663314,0.02377808177956955
shallow,3.5175879396984926,0.036368009677663314,0.02377808177956955
shallow,3.5527638190954773,0.036368009677663314,0.02377808177956955
shallow,3.587939698492462,0.036368009677663314,0.024531380211226923
shallow,3.6231155778894473,0.03736047167475881,0.024531380211226923
shallow,3.658291457286432,0.03736047167475881,0.024531380211226923
shallow,3.693467336683417,0.03736047167475881,0.024531380211226923
shallow,3.728643216080402,0.03736047167475881,0.024531380211226923
shallow,3.7638190954773867,0.03736047167475881,0.024531380211226923
shallow,3.798994974874372,0.03736047167475881,0.024531380211226923
shallow,3.8341708542713566,0.03829151428120429,0.024531380211226923
shallow,3.869346733668342,0.038950022583410945,0.024531380211226923
shallow,3.9045226130653266,0.038950022583410945,0.024531380211226923
shallow,3.9396984924623117,0.038950022583410945,0.024531380211226923
shallow,3.9748743718592965,0.038950022583410945,0.024531380211226923
shallow,4.010050251256281,0.038950022583410945,0.024531380211226923
shallow,4.045226130653266,0.038950022583410945,0.02547454031113671
shallow,4.080402010050252,0.038950022583410945,0.02547454031113671
shallow,4.115577889447236,0.038950022583410945,0.02547454031113671
shallow,4.150753768844221,0.038950022583410945,0.02547454031113671
shallow,4.185929648241206,0.038950022583410945,0.02547454031113671
shallow,4.221105527638191,0.038950022583410945,0.02547454031113671
shallow,4.256281407035176,0.038950022583410945,0.02547454031113671
shallow,4.291457286432161,0.038950022583410945,0.02547454031113671
shallow,4.326633165829145,0.038950022583410945,0.02547454031113671
shallow,4.36180904522613,0.038950022583410945,0.02547454031113671
shallow,4.396984924623116,0.038950022583410945,0.02547454031113671
shallow,4.432160804020101,0.038950022583410945,0.02547454031113671
shallow,4.467336683417085,0.038950022583410945,0.02547454031113671
